fbus,tbus,r,x,b,rateA,rateB,ratec,ratio,angle,status,angmin,angmax,voltagegrade,capacity
22001,22002,0.0061,0.0399,0,100,100,100,0,0,1,-360,360,220,60
22001,22002,0.0038,0.0325,0,100,100,100,0,0,1,-360,360,220,60
22002,22003,0.0017,0.0129,0,100,100,100,0,0,1,-360,360,220,60
22002,22003,0.0015,0.0129,0,100,100,100,0,0,1,-360,360,220,60
11001,11004,0.0042,0.0135,0,100,100,100,0,0,1,-360,360,110,10
11001,11010,0.0234,0.0779,0,100,100,100,0,0,1,-360,360,110,20
11001,11010,0.0227,0.0782,0,100,100,100,0,0,1,-360,360,110,20
11001,11006,0.0168,0.0538,0,100,100,100,0,0,1,-360,360,110,20
11001,11005,0.0309,0.0993,0,100,100,100,0,0,1,-360,360,110,20
11001,11003,0.0043,0.0135,0,100,100,100,0,0,1,-360,360,110,20
11001,11002,0.0284,0.0936,0,100,100,100,0,0,1,-360,360,110,20
22002,11001,0,0.098,0,100,100,100,0,0,1,-360,360,220,60
11001,3501,0,0.0543,0,100,100,100,0,0,1,-360,360,110,20
22002,3501,0,-0.8175,0,100,100,100,0,0,1,-360,360,220,60
22002,11001,0,0.0972,0,100,100,100,0,0,1,-360,360,220,60
11001,3501,0,0.0538,0,100,100,100,0,0,1,-360,360,110,20
22002,3501,0,-0.8046,0,100,100,100,0,0,1,-360,360,220,60
3501,3502,0.0892,0.1852,0,100,100,100,0,0,1,-360,360,35,10
3501,3513,0.1153,0.2393,0,100,100,100,0,0,1,-360,360,35,10
3501,3514,0.167,0.2863,0,100,100,100,0,0,1,-360,360,35,10
3501,1011,0.036,0.7108,0,100,100,100,0,0,1,-360,360,35,10
3501,1010,0.0295,0.5781,0,100,100,100,0,0,1,-360,360,35,10
3501,3503,0.065,0.1366,0,100,100,100,0,0,1,-360,360,35,10
3501,3503,0.1348,0.2487,0,100,100,100,0,0,1,-360,360,35,10
3501,1009,0.0585,0.8745,0,100,100,100,0,0,1,-360,360,35,10
3501,3504,0.1335,0.2571,0,100,100,100,0,0,1,-360,360,35,10
3501,3505,0.0556,0.1155,0,100,100,100,0,0,1,-360,360,35,10
3503,1006,0,1.208,0,100,100,100,0,0,1,-360,360,35,10
3503,1006,0,1.216,0,100,100,100,0,0,1,-360,360,35,10
3503,1008,0.0644,0.6403,0,100,100,100,0,0,1,-360,360,35,10
3503,1008,0.0662,0.6465,0,100,100,100,0,0,1,-360,360,35,10
3504,1007,0,0.796,0,100,100,100,0,0,1,-360,360,35,10
3504,1007,0,0.793,0,100,100,100,0,0,1,-360,360,35,10
3505,3504,0.1354,0.3028,0,100,100,100,0,0,1,-360,360,35,10
3505,1009,0.0607,0.6334,0,100,100,100,0,0,1,-360,360,35,10
3505,1010,0.0278,0.5672,0,100,100,100,0,0,1,-360,360,35,10
3505,1011,0.0295,0.7082,0,100,100,100,0,0,1,-360,360,35,10
3505,1012,0.0062,0.516,0,100,100,100,0,0,1,-360,360,35,10
3505,1012,0.0062,0.523,0,100,100,100,0,0,1,-360,360,35,10
3505,1013,0,1.265,0,100,100,100,0,0,1,-360,360,35,10
3505,1013,0,1.268,0,100,100,100,0,0,1,-360,360,35,10
3506,1014,0.1333,0.7018,0,100,100,100,0,0,1,-360,360,35,10
3506,1014,0.0853,0.6633,0,100,100,100,0,0,1,-360,360,35,10
3506,3507,0.1744,0.2394,0,100,100,100,0,0,1,-360,360,35,10
3506,3507,0.1884,0.2585,0,100,100,100,0,0,1,-360,360,35,10
3506,3512,0.1238,0.2129,0,100,100,100,0,0,1,-360,360,35,10
3507,3514,0.1026,0.188,0,100,100,100,0,0,1,-360,360,35,10
3512,3514,0.1186,0.2034,0,100,100,100,0,0,1,-360,360,35,10
3512,1015,0,0.6336,0,100,100,100,0,0,1,-360,360,35,10
3512,1015,0,0.6304,0,100,100,100,0,0,1,-360,360,35,10
3514,1017,0,0.49,0,100,100,100,0,0,1,-360,360,35,10
3514,1017,0,0.4105,0,100,100,100,0,0,1,-360,360,35,10
11005,11012,0.0189,0.0641,0,100,100,100,0,0,1,-360,360,110,20
11003,1001,0,-1.3985,0,100,100,100,0,0,1,-360,360,110,20
1001,3505,0,0.0944,0,100,100,100,0,0,1,-360,360,10,0
3505,11003,0,0.1361,0,100,100,100,0,0,1,-360,360,35,10
11004,1001,0,-0.9213,0,100,100,100,0,0,1,-360,360,110,20
1001,3505,0,0.0885,0,100,100,100,0,0,1,-360,360,10,0
3505,11004,0,0.1342,0,100,100,100,0,0,1,-360,360,35,10
11005,1002,0,-3.7191,0,100,100,100,0,0,1,-360,360,110,20
1002,3506,0,0.2084,0,100,100,100,0,0,1,-360,360,10,0
3506,11005,0,0.2876,0,100,100,100,0,0,1,-360,360,35,10
11005,1002,0,-4.4886,0,100,100,100,0,0,1,-360,360,110,20
1002,3506,0,0.2059,0,100,100,100,0,0,1,-360,360,10,0
3506,11005,0,0.2945,0,100,100,100,0,0,1,-360,360,35,10
11006,1003,0,-7.0211,0,100,100,100,0,0,1,-360,360,110,20
1003,3507,0,0.3303,0,100,100,100,0,0,1,-360,360,10,0
3507,11006,0,0.5142,0,100,100,100,0,0,1,-360,360,35,10
11006,1003,0,-7.2253,0,100,100,100,0,0,1,-360,360,110,20
