中双港35kv,,堡北,,陈家镇35kv,,红星站,,南门站,,新海站,,长江站,,竖河站,,汲浜站,,海门,,长兴,,电动车站,
49,-0.4,24,12,28.2,4.8,21.7,1.5,66.4,13.8,13.6,2.68,18.5,3.8,59.3,15.3,26.4,6.5,470,0,0,0,,
39.739,-0.3244,19.464,9.732,22.8702,3.8928,17.5987,1.2165,53.8504,11.1918,11.0296,2.17348,15.0035,3.0818,48.0923,12.4083,21.4104,5.2715,381.17,0,0,0,2.9202435,4.67821676
39.347,-0.3212,19.272,9.636,22.6446,3.8544,17.4251,1.2045,53.3192,11.0814,10.9208,2.15204,14.8555,3.0514,47.6179,12.2859,21.1992,5.2195,377.41,0,0,0,2.76742422,4.766760831
38.955,-0.318,19.08,9.54,22.419,3.816,17.2515,1.1925,52.788,10.971,10.812,2.1306,14.7075,3.021,47.1435,12.1635,20.988,5.1675,373.65,0,0,0,2.616053811,4.844853479
38.563,-0.3148,18.888,9.444,22.1934,3.7776,17.0779,1.1805,52.2568,10.8606,10.7032,2.10916,14.5595,2.9906,46.6691,12.0411,20.7768,5.1155,369.89,0,0,0,2.466788256,4.911930311
38.122,-0.3112,18.672,9.336,21.9396,3.7344,16.8826,1.167,51.6592,10.7364,10.5808,2.08504,14.393,2.9564,46.1354,11.9034,20.5392,5.057,365.66,0,0,0,2.320231588,4.967501529
37.926,-0.3096,18.576,9.288,21.8268,3.7152,16.7958,1.161,51.3936,10.6812,10.5264,2.07432,14.319,2.9412,45.8982,11.8422,20.4336,5.031,363.78,0,0,0,2.176932995,5.011157885
37.73,-0.308,18.48,9.24,21.714,3.696,16.709,1.155,51.128,10.626,10.472,2.0636,14.245,2.926,45.661,11.781,20.328,5.005,361.9,0,0,0,2.037384756,5.0425757
37.534,-0.3064,18.384,9.192,21.6012,3.6768,16.6222,1.149,50.8624,10.5708,10.4176,2.05288,14.171,2.9108,45.4238,11.7198,20.2224,4.979,360.02,0,0,0,1.902020996,5.061520859
37.289,-0.3044,18.264,9.132,21.4602,3.6528,16.5137,1.1415,50.5304,10.5018,10.3496,2.03948,14.0785,2.8918,45.1273,11.6433,20.0904,4.9465,357.67,0,0,0,1.771217217,5.067851716
37.191,-0.3036,18.216,9.108,21.4038,3.6432,16.4703,1.1385,50.3976,10.4742,10.3224,2.03412,14.0415,2.8842,45.0087,11.6127,20.0376,4.9335,356.73,0,0,0,1.645290564,5.061520859
